Partners,date,DairyEggHoney,Cereal,Fish,FruitNut,LiveAnimal,Meat,Vegetables,TotalBalance,Rate Per Million,sub-region
Netherlands,2/1/2020 0:00,380643,-193575,96431,-24049,77483,494630,282744,1158169,0,Western Europe
Australia,7/1/2018 0:00,77640,446740,19518,145560,87996,845733,44409,1710878,0,Australia and New Zealand
Australia,2/1/2020 0:00,42946,270714,-24749,43632,111482,896892,100511,1485290,0,Australia and New Zealand
Australia,8/1/2018 0:00,47491,293710,30031,128119,107015,892354,39160,1581193,0,Australia and New Zealand
Argentina,2/1/2020 0:00,90416,760773,159706,41319,787,223084,65735,1385682,0,Latin America and the Caribbean
Argentina,7/1/2018 0:00,74529,590148,148897,101307,1076,223439,38341,1221019,0,Latin America and the Caribbean
Argentina,8/1/2018 0:00,76793,568207,186040,75293,830,214321,40230,1205027,0,Latin America and the Caribbean
Antigua and Barbuda,7/1/2018 0:00,-1245,-156,-582,-637,-168,-1661,-884,37949,0,Latin America and the Caribbean
Morocco,7/1/2018 0:00,-13508,-57582,104822,-573,-4621,-4192,18729,86357,0,Northern Africa
Morocco,2/1/2020 0:00,-15334,-178313,125749,178361,-11756,-2049,144788,285308,0,Northern Africa
Morocco,8/1/2018 0:00,-14869,-85517,151893,-10916,-4247,-3581,21430,97506,0,Northern Africa
Armenia,2/1/2020 0:00,-3316,-2158,1825,-3995,341,-4734,2298,34123,0,Western Asia
Armenia,7/1/2018 0:00,-2005,-5047,1958,1250,-81,-180,509,39686,0,Western Asia
Denmark,7/1/2018 0:00,173613,25361,38123,-50167,96933,197869,-25414,499600,0,Northern Europe
Denmark,2/1/2020 0:00,145963,21814,53429,-53009,138998,267036,-31466,586627,0,Northern Europe
Denmark,8/1/2018 0:00,161184,2747,68134,-64116,98238,215341,-28617,496224,0,Northern Europe
Aruba,7/1/2018 0:00,-2890,-254,-1652,-1884,-33,-3964,-2001,30604,0,Latin America and the Caribbean
Turkey,7/1/2018 0:00,48880,-123089,55972,183366,-165838,35325,58471,136369,0,Western Asia
Turkey,8/1/2018 0:00,53010,-85172,58818,169327,-107648,38254,50483,220385,0,Western Asia
Austria,2/1/2020 0:00,32258,10370,-26577,-72173,-9603,8825,-53166,-66204,0,Western Europe
Austria,7/1/2018 0:00,30193,-26443,-24107,-82987,-14725,11625,-28617,-91779,0,Western Europe
Norway,7/1/2018 0:00,-7083,-11092,813070,-57459,-1525,-9300,-29190,740703,0,Northern Europe
Norway,8/1/2018 0:00,-5998,-13980,883912,-58646,-1131,-8204,-29605,809661,0,Northern Europe
Norway,2/1/2020 0:00,-7220,-6645,886173,-56788,-1574,-5691,-36986,815131,0,Northern Europe
Bahrain,2/1/2020 0:00,-11411,-5160,1885,-14192,-1216,-20281,-9239,-15752,0,Western Asia
Bahrain,7/1/2018 0:00,-9538,-12817,2549,-15030,-1152,-18214,-6986,-17906,0,Western Asia
Russian Federation,7/1/2018 0:00,-179403,873893,180315,-365222,-25704,-139101,-28335,359725,0,Eastern Europe
Russian Federation,8/1/2018 0:00,-168294,1016038,225681,-282024,-20941,-142884,-15495,655394,0,Eastern Europe
South Africa,7/1/2018 0:00,4798,-63737,12916,477497,-17620,-41530,9790,425396,0,Sub-Saharan Africa
South Africa,8/1/2018 0:00,7040,-7330,18673,454493,-13337,-48275,7440,462017,0,Sub-Saharan Africa
South Africa,2/1/2020 0:00,2933,-12594,9459,242794,-15498,-22198,15443,264201,0,Sub-Saharan Africa
Barbados,2/1/2020 0:00,-2376,-262,-1461,-1615,46,-2815,-1242,34137,0,Latin America and the Caribbean
Barbados,7/1/2018 0:00,-3809,-2491,-1678,-1406,-8,-3285,-1256,29349,0,Latin America and the Caribbean
Barbados,8/1/2018 0:00,-3039,-357,-1308,-1167,71,-2327,-1286,33900,0,Latin America and the Caribbean
Thailand,7/1/2018 0:00,-19831,369894,-72599,198692,23147,83449,-7350,618684,0,South-eastern Asia
Thailand,8/1/2018 0:00,-35525,427040,-111195,333673,22580,94517,6703,781106,0,South-eastern Asia
Belgium,2/1/2020 0:00,13187,-125590,-60219,-59157,14631,135721,15846,-21719,0,Western Europe
Belgium,7/1/2018 0:00,20748,-111698,-84655,-127613,3124,166922,45807,-44083,0,Western Europe
Belgium,8/1/2018 0:00,4175,-118630,-93515,-78857,9625,161484,29044,-43361,0,Western Europe
Italy,7/1/2018 0:00,-44043,-202153,-397958,5391,-135520,-238252,-43819,-1013072,0,Southern Europe
Italy,2/1/2020 0:00,-21557,-172374,-311229,-11537,-132843,-243884,44644,-804918,0,Southern Europe
Italy,8/1/2018 0:00,-37298,-204465,-374839,113876,-139680,-184735,-37103,-820931,0,Southern Europe
Belize,2/1/2020 0:00,-1858,-333,2077,3365,-19,-116,947,47925,0,Latin America and the Caribbean
Belize,7/1/2018 0:00,-1177,-1534,1821,3712,-50,-171,246,46129,0,Latin America and the Caribbean
Benin,2/1/2020 0:00,-595,-8490,-11348,494,-86,-6393,-185,17259,0,Sub-Saharan Africa
Benin,7/1/2018 0:00,-339,-121284,-14166,11127,1,-7769,-177,-89325,0,Sub-Saharan Africa
Lithuania,7/1/2018 0:00,20274,30349,1984,-30168,5288,1555,1474,74038,0,Northern Europe
Lithuania,2/1/2020 0:00,25544,50348,-5272,-14474,1500,-1863,3083,102728,0,Northern Europe
Lithuania,8/1/2018 0:00,28367,66410,-9668,-18932,6915,-783,9624,125246,0,Northern Europe
Bermuda,7/1/2018 0:00,-1252,-97,-1379,-1278,-46,-1872,-766,36592,0,Northern America
Romania,7/1/2018 0:00,-21345,232344,-17702,-35842,34618,-54148,-503,180704,0,Eastern Europe
Romania,8/1/2018 0:00,-26223,215930,-16180,-37975,27494,-57084,-5438,143837,0,Eastern Europe
Romania,2/1/2020 0:00,-49630,235361,-15902,-67906,5081,-71565,-61745,17556,0,Eastern Europe
Bolivia (Plurinational State of),7/1/2018 0:00,-1088,3728,-897,26071,-875,688,2026,72935,0,Latin America and the Caribbean
Bolivia (Plurinational State of),8/1/2018 0:00,-1316,3633,-1089,20711,-770,529,1687,66698,0,Latin America and the Caribbean
Poland,7/1/2018 0:00,155598,34149,-33692,-45244,-47062,347887,68741,523659,0,Eastern Europe
Poland,8/1/2018 0:00,126549,79596,-50974,-66348,-54935,299024,86212,462437,0,Eastern Europe
Poland,2/1/2020 0:00,140519,116060,-46890,-66097,-70410,304113,-26262,394895,0,Eastern Europe
Bosnia and Herzegovina,2/1/2020 0:00,-3191,-10308,-722,-4911,-2794,-9817,-5773,6346,0,Southern Europe
Bosnia and Herzegovina,7/1/2018 0:00,-3835,-10605,-806,3315,-2842,-14480,1059,15088,0,Southern Europe
Bosnia and Herzegovina,8/1/2018 0:00,-3622,-9347,-1180,410,-2228,-16983,771,11134,0,Southern Europe
Costa Rica,7/1/2018 0:00,7684,-24543,2494,168403,43,-2451,6709,201621,0,Latin America and the Caribbean
Costa Rica,2/1/2020 0:00,3575,-17040,-2013,190013,18,2835,9458,230708,0,Latin America and the Caribbean
Costa Rica,8/1/2018 0:00,8157,-32267,1992,145743,-473,-1142,10259,175582,0,Latin America and the Caribbean
Ireland,7/1/2018 0:00,208414,-29463,26438,-46432,23235,206745,-25488,406731,0,Northern Europe
Ireland,2/1/2020 0:00,78368,-21494,42033,-35129,-15628,206967,-20051,278928,0,Northern Europe
Ireland,8/1/2018 0:00,191702,-65780,22003,-46018,18328,221987,-24372,361163,0,Northern Europe
Israel,7/1/2018 0:00,-8264,-98855,-45484,-7366,-19352,-37033,-2069,-175141,0,Western Asia
Israel,2/1/2020 0:00,-10834,-57884,-37310,67761,-16252,-56284,37625,-29316,0,Western Asia
Israel,8/1/2018 0:00,-7278,-121942,-46079,11384,-28033,-54201,-2747,-205583,0,Western Asia
Chile,7/1/2018 0:00,-11517,-72552,409119,370425,-1454,-44960,2015,694358,0,Latin America and the Caribbean
Chile,2/1/2020 0:00,-10026,-63112,421928,517255,-1065,-50779,7948,866011,0,Latin America and the Caribbean
Chile,8/1/2018 0:00,-23029,-50671,480375,355541,-1495,-91784,-2236,710014,0,Latin America and the Caribbean
Brunei Darussalam,7/1/2018 0:00,-3991,-2150,-2789,-3132,-700,-750,-2425,27345,0,South-eastern Asia
Bulgaria,2/1/2020 0:00,-4052,137891,-4990,-13200,915,-28204,-10767,121455,0,Eastern Europe
Bulgaria,7/1/2018 0:00,-6031,161259,-5324,-8511,2286,-17956,7111,176116,0,Eastern Europe
Madagascar,7/1/2018 0:00,-2491,-4839,10644,-68,-166,-6,4088,50444,0,Sub-Saharan Africa
Madagascar,2/1/2020 0:00,-2684,-17313,8265,81,-14,-11,320,32506,0,Sub-Saharan Africa
Madagascar,8/1/2018 0:00,-2861,-8892,9248,142,-26,12,5555,46491,0,Sub-Saharan Africa
Burkina Faso,2/1/2020 0:00,-1100,-6484,-1853,2823,9,3,208,37468,0,Sub-Saharan Africa
Burkina Faso,7/1/2018 0:00,-2310,-18444,-1230,6853,20,-11,24,28184,0,Sub-Saharan Africa
Paraguay,7/1/2018 0:00,-2907,53906,-318,31,-703,113985,-1470,205806,0,Latin America and the Caribbean
Paraguay,2/1/2020 0:00,-334,23947,-399,-190,-785,84789,-2170,148720,0,Latin America and the Caribbean
Paraguay,8/1/2018 0:00,-2614,59541,-296,-132,-928,112538,-2223,209199,0,Latin America and the Caribbean
Burundi,7/1/2018 0:00,-16,-2653,-112,1,-394,-1553,-265,38290,0,Sub-Saharan Africa
Cabo Verde,7/1/2018 0:00,-3628,-2113,924,-991,-13,-2191,-1273,33997,0,Sub-Saharan Africa
Ethiopia,7/1/2018 0:00,-2031,-82006,-118,514,3255,7745,43548,14189,0,Sub-Saharan Africa
Ethiopia,2/1/2020 0:00,-2489,-55614,-39,-452,2715,6116,37277,31376,0,Sub-Saharan Africa
Ethiopia,8/1/2018 0:00,-161,-53384,-19,398,7087,8963,37840,44037,0,Sub-Saharan Africa
Cambodia,2/1/2020 0:00,-3450,45105,-374,9321,-3121,-957,-114,90272,0,South-eastern Asia
Cambodia,7/1/2018 0:00,-2299,13345,-173,705,-850,-798,-484,52728,0,South-eastern Asia
Ecuador,7/1/2018 0:00,-812,-24320,309682,246718,-1624,-791,10380,582515,0,Latin America and the Caribbean
Ecuador,2/1/2020 0:00,-441,-12347,380672,324178,-1455,-793,17394,751070,0,Latin America and the Caribbean
Ecuador,8/1/2018 0:00,-936,-28617,303147,239031,-2634,-732,11690,564262,0,Latin America and the Caribbean
Serbia,7/1/2018 0:00,2352,41519,-3517,42939,-1036,-1788,11876,135627,0,Southern Europe
Serbia,8/1/2018 0:00,4621,40251,-3047,32092,174,-1005,11122,127521,0,Southern Europe
Serbia,2/1/2020 0:00,750,43807,-2434,34866,2833,-8108,-3290,112286,0,Southern Europe
Kenya,7/1/2018 0:00,-9073,-53356,-50,27588,372,4208,16909,29880,0,Sub-Saharan Africa
Kenya,2/1/2020 0:00,-6284,-80581,1322,12221,1097,5886,19279,-3198,0,Sub-Saharan Africa
Kenya,8/1/2018 0:00,-8873,-75158,-1310,24470,-81,4160,17587,4108,0,Sub-Saharan Africa
United Kingdom of Great Britain and Northern Ireland,7/1/2018 0:00,-181219,-125969,-73736,-510034,-797,-310477,-291588,-1450538,0,Northern Europe
United Kingdom of Great Britain and Northern Ireland,8/1/2018 0:00,-157155,-144610,-29095,-474590,12107,-281021,-251301,-1282352,0,Northern Europe
Germany,7/1/2018 0:00,105592,-64967,-218409,-920000,-17008,55443,-447827,-1463894,0,Western Europe
Germany,2/1/2020 0:00,167586,-2680,-230580,-753460,-45118,169853,-594901,-1245438,0,Western Europe
Germany,8/1/2018 0:00,58334,-104870,-230545,-826472,-20452,51210,-342681,-1372163,0,Western Europe
Portugal,7/1/2018 0:00,-32293,-82685,-106325,-25950,3578,-97068,-1106,-298567,0,Southern Europe
Portugal,2/1/2020 0:00,-19357,-64424,-69355,-8108,-5232,-79159,-20263,-222036,0,Southern Europe
Portugal,8/1/2018 0:00,-29183,-85987,-112499,-28891,420,-104918,-8705,-326450,0,Southern Europe
Colombia,2/1/2020 0:00,-9551,-206774,-10463,80198,6177,-16882,-10643,-124076,0,Latin America and the Caribbean
Colombia,7/1/2018 0:00,-4899,-104357,-4404,61081,-2944,-15900,-11234,-39375,0,Latin America and the Caribbean
Peru,7/1/2018 0:00,-10276,-105528,70827,219915,-987,-17229,42588,242592,0,Latin America and the Caribbean
Peru,2/1/2020 0:00,-13960,-84713,71458,256542,-3725,-12931,17159,273692,0,Latin America and the Caribbean
Peru,8/1/2018 0:00,-2401,-101679,55061,271403,-1556,-14484,51542,301199,0,Latin America and the Caribbean
Congo,2/1/2020 0:00,-1880,-9876,-5678,-163,9,-16312,-718,9244,0,Sub-Saharan Africa
Congo,7/1/2018 0:00,-1636,-7273,-8891,-176,-1,-11581,-792,12932,0,Sub-Saharan Africa
Czechia,7/1/2018 0:00,19667,34207,-10639,-49273,23215,-87944,-29933,-57418,0,Eastern Europe
Czechia,8/1/2018 0:00,13844,49785,-8917,-57563,28229,-85893,-26201,-43403,0,Eastern Europe
Georgia,7/1/2018 0:00,-5750,-10558,-1840,3306,1648,-974,-1202,27912,0,Western Asia
Georgia,2/1/2020 0:00,-5874,-7755,-2000,266,419,-7694,-2905,18319,0,Western Asia
Georgia,8/1/2018 0:00,-3708,-9822,-1395,4515,4126,-5263,-1496,30270,0,Western Asia
Côte d'Ivoire,7/1/2018 0:00,-6126,-43968,-38963,73204,-398,-5949,-4101,16981,0,Sub-Saharan Africa
Croatia,2/1/2020 0:00,-17379,14846,15676,-15565,9452,-25924,-15239,9729,0,Southern Europe
Croatia,7/1/2018 0:00,-23681,18157,-881,-18324,8084,-33517,-8420,-15300,0,Southern Europe
Uruguay,7/1/2018 0:00,52080,4465,8505,8155,9979,120148,-2045,244569,0,Latin America and the Caribbean
Uruguay,8/1/2018 0:00,68940,2138,10845,8786,42873,145217,-1519,320593,0,Latin America and the Caribbean
Curaçao,7/1/2018 0:00,-2041,-329,-1110,-1348,-12,-3421,-1590,33431,0,Latin America and the Caribbean
Cyprus,2/1/2020 0:00,14766,-6842,-2254,-2137,-370,-6858,-109,40058,0,Western Asia
Cyprus,7/1/2018 0:00,12365,-13148,-2664,-5255,12,-8097,-224,26271,0,Western Asia
Senegal,7/1/2018 0:00,-5382,-40719,62393,15780,-105,-182,728,75795,0,Sub-Saharan Africa
Senegal,8/1/2018 0:00,-3848,-68097,32218,3042,-46,-876,-4050,1656,0,Sub-Saharan Africa
Senegal,2/1/2020 0:00,-7694,-40477,35410,-1710,25,-1270,13489,41635,0,Sub-Saharan Africa
Pakistan,7/1/2018 0:00,-9144,115448,11491,17089,-1374,14710,-51773,139729,0,Southern Asia
Pakistan,2/1/2020 0:00,-6862,177698,23781,50921,-2821,25408,-11255,300732,0,Southern Asia
Pakistan,8/1/2018 0:00,-6913,150814,17235,20483,-2914,15216,-59976,177258,0,Southern Asia
Dominica,7/1/2018 0:00,-741,-61,-41,-6,-18,-454,72,42033,0,Latin America and the Caribbean
Dominican Republic,2/1/2020 0:00,-22467,-15125,-13619,24372,-51,-19558,761,-1825,0,Latin America and the Caribbean
Dominican Republic,7/1/2018 0:00,-16384,-35876,-10917,21201,749,-18178,-447,-16570,0,Latin America and the Caribbean
Nicaragua,7/1/2018 0:00,9813,-4824,30838,4877,803,41559,4405,130753,0,Latin America and the Caribbean
Nicaragua,2/1/2020 0:00,12079,-14237,21193,7047,-692,47478,7005,123735,0,Latin America and the Caribbean
Nicaragua,8/1/2018 0:00,12647,-25364,27265,4270,306,53714,4547,120698,0,Latin America and the Caribbean
Iceland,7/1/2018 0:00,-407,-2362,132802,-6201,62,-911,-3584,162681,0,Northern Europe
Iceland,2/1/2020 0:00,-95,-1466,145183,-4439,1656,-724,-2616,181361,0,Northern Europe
Iceland,8/1/2018 0:00,130,-1789,137841,-5166,8,-1247,-2857,170233,0,Northern Europe
El Salvador,7/1/2018 0:00,-13535,-22004,-2630,-5955,33,-16111,-5132,-22052,0,Latin America and the Caribbean
El Salvador,2/1/2020 0:00,-16846,-19886,-776,-7794,-17,-19035,-6976,-27468,0,Latin America and the Caribbean
El Salvador,8/1/2018 0:00,-12230,-22200,-3162,-7263,-146,-12153,-6168,-20009,0,Latin America and the Caribbean
Malaysia,7/1/2018 0:00,-32888,-93655,-24220,-32007,12669,-78556,-57023,-262398,0,South-eastern Asia
Malaysia,2/1/2020 0:00,-38183,-160649,-26805,-42987,13505,-85806,-53649,-350712,0,South-eastern Asia
Malaysia,8/1/2018 0:00,-38753,-165750,-16640,-43502,14996,-72541,-44210,-323087,0,South-eastern Asia
Kyrgyzstan,7/1/2018 0:00,2380,-1467,-109,-7139,595,-1068,1008,37482,0,Central Asia
Kyrgyzstan,2/1/2020 0:00,2370,-2000,-45,-209,894,-2077,5969,48764,0,Central Asia
Kyrgyzstan,8/1/2018 0:00,1868,-1007,-176,-4709,202,-2390,1895,38996,0,Central Asia
Estonia,2/1/2020 0:00,10373,8869,2966,-7770,1611,-6519,-3750,49642,0,Northern Europe
Estonia,7/1/2018 0:00,10397,831,-920,-12196,1159,-6254,-3502,32797,0,Northern Europe
Eswatini,2/1/2020 0:00,-2227,-5393,-175,-166,23,-66,-1239,34619,0,Sub-Saharan Africa
Eswatini,7/1/2018 0:00,-1798,-4679,-235,1833,-339,-817,-1211,36036,0,Sub-Saharan Africa
Jordan,7/1/2018 0:00,-17111,-54657,-6061,8264,-20475,-32901,28273,-51386,0,Western Asia
Jordan,2/1/2020 0:00,-16877,-24814,-4280,-30043,7418,-22447,3351,-43830,0,Western Asia
Jordan,8/1/2018 0:00,-11585,-35164,-5363,9682,12176,-26670,41796,28185,0,Western Asia
Malawi,7/1/2018 0:00,-1933,-2314,-283,3119,-229,-87,3256,44811,0,Sub-Saharan Africa
Malawi,2/1/2020 0:00,-975,-1760,-306,1352,6,-112,3333,45400,0,Sub-Saharan Africa
Malawi,8/1/2018 0:00,-1326,-1841,-6266,2826,-105,34,590,37225,0,Sub-Saharan Africa
Fiji,2/1/2020 0:00,-3192,-9874,4819,-554,-211,-4126,-1699,29025,0,Melanesia
Fiji,7/1/2018 0:00,-4634,-7798,8943,-935,-290,-3410,-1878,33280,0,Melanesia
Indonesia,7/1/2018 0:00,-26542,-415264,230115,-75560,-68197,-85783,-42691,-440640,0,South-eastern Asia
Indonesia,2/1/2020 0:00,-37432,-336695,255007,35227,-43214,-38969,-9813,-132027,0,South-eastern Asia
Finland,2/1/2020 0:00,6902,10911,-17447,-41652,-47,-4738,-27136,-29345,0,Northern Europe
Finland,7/1/2018 0:00,-869,4241,-20624,-38807,-163,-12884,-18487,-44311,0,Northern Europe
Hungary,7/1/2018 0:00,1268,82224,-5111,343,15456,34952,15423,187837,0,Eastern Europe
Hungary,2/1/2020 0:00,4552,171554,-4344,-25475,7496,20239,-23884,194000,0,Eastern Europe
Uganda,7/1/2018 0:00,7645,-153,13784,-266,-99,658,11408,76259,0,Sub-Saharan Africa
Greece,7/1/2018 0:00,-1490,-27349,31423,41338,-4761,-124984,-16661,-59202,0,Southern Europe
Greece,2/1/2020 0:00,-10467,-6369,581,66734,-2458,-101328,-14855,-24300,0,Southern Europe
Philippines,7/1/2018 0:00,-94043,-194408,1847,163940,89,-97210,-8406,-184909,0,South-eastern Asia
Philippines,2/1/2020 0:00,-90566,-194767,-11961,186453,-39,-81699,-6162,-154879,0,South-eastern Asia
"Taiwan, Province of China",7/1/2018 0:00,-58179,-139886,66438,-75184,22,-149496,-13081,-326084,0,Eastern Asia
Namibia,7/1/2018 0:00,-3511,-5119,72466,-1657,20220,3148,-1339,127490,0,Sub-Saharan Africa
Namibia,2/1/2020 0:00,-2944,-9217,56441,-977,9660,-599,-2550,93676,0,Sub-Saharan Africa
Guatemala,7/1/2018 0:00,-17755,-33908,5811,84972,-900,-15868,20300,85934,0,Latin America and the Caribbean
Niger,7/1/2018 0:00,-3362,-27093,-593,-272,2777,-110,5562,20191,0,Sub-Saharan Africa
Niger,2/1/2020 0:00,-2762,-33302,-384,-608,1456,-401,743,8604,0,Sub-Saharan Africa
Guyana,7/1/2018 0:00,-3444,6082,7302,135,148,-19,-895,52591,0,Latin America and the Caribbean
Guyana,2/1/2020 0:00,-2548,4712,6219,500,117,-32,-947,51883,0,Latin America and the Caribbean
Switzerland,7/1/2018 0:00,-3811,-19632,-47741,-95835,-7401,-62768,-21352,-215258,0,Western Europe
Latvia,7/1/2018 0:00,9616,-6117,-945,-8355,2995,-8606,-3198,28672,0,Northern Europe
Latvia,2/1/2020 0:00,10040,15432,-6335,-8373,4155,-6910,591,52462,0,Northern Europe
"Korea, Republic of",7/1/2018 0:00,-80880,-344479,-228400,-155012,-7891,-412864,-29782,-1216026,0,Eastern Asia
Honduras,7/1/2018 0:00,-1795,-28604,9279,15051,-1613,-7106,1569,30063,0,Latin America and the Caribbean
Slovakia,7/1/2018 0:00,-6502,16795,-4268,-23117,8821,-42399,-14583,-21971,0,Eastern Europe
Slovakia,2/1/2020 0:00,-14553,16174,-4273,-21316,8447,-44238,-27726,-43623,0,Eastern Europe
Hong Kong,7/1/2018 0:00,-117534,-22828,-228818,-118984,-30330,-313847,-55813,-844872,0,Eastern Asia
India,7/1/2018 0:00,21064,687528,531072,-318773,2130,345216,27563,1339082,0,Southern Asia
Japan,7/1/2018 0:00,-160164,-481565,-755687,-297983,4645,-934376,-195183,-2777031,0,Eastern Asia
Japan,2/1/2020 0:00,-128987,-512588,-546271,-217296,-25653,-756617,-136902,-2280452,0,Eastern Asia
Slovenia,7/1/2018 0:00,1546,381,-6814,-12843,12140,-4829,-5414,27449,0,Southern Europe
Slovenia,2/1/2020 0:00,965,-2446,-4838,-11690,6868,-6682,-11282,14757,0,Southern Europe
Saint Vincent and the Grenadines,7/1/2018 0:00,-648,-452,77,118,-8,-1067,9,41311,0,Latin America and the Caribbean
Saint Vincent and the Grenadines,2/1/2020 0:00,-588,-2317,12,41,-25,-1065,-132,39788,0,Latin America and the Caribbean
Togo,7/1/2018 0:00,-1065,-4292,-2838,139,-26,-1335,-95,33770,0,Sub-Saharan Africa
Kazakhstan,7/1/2018 0:00,-14836,70591,-1345,-34397,-5132,-14101,1415,45477,0,Central Asia
Kazakhstan,2/1/2020 0:00,-23108,104695,-5980,-28748,-4830,-16854,-3238,65799,0,Central Asia
Zambia,7/1/2018 0:00,-1203,-3231,-9429,-1378,510,-511,-215,27825,0,Sub-Saharan Africa
Sweden,7/1/2018 0:00,-63539,5791,-40239,-84946,2397,-81859,-46282,-265395,0,Northern Europe
Lesotho,2/1/2020 0:00,-1557,-3094,313,-457,-514,-2389,-987,35177,0,Sub-Saharan Africa
Seychelles,7/1/2018 0:00,-2082,-938,-16731,-849,106,-2135,-970,19683,0,Sub-Saharan Africa
Seychelles,2/1/2020 0:00,-2802,-871,-5591,-1274,46,-2206,-1488,29676,0,Sub-Saharan Africa
Luxembourg,7/1/2018 0:00,6736,116,-7723,-21057,2239,-11112,-7466,5015,0,Western Europe
Luxembourg,2/1/2020 0:00,6001,-4730,-6986,-15012,2299,-9673,-7074,8687,0,Western Europe
Singapore,7/1/2018 0:00,-71328,-25378,-48281,-52387,-16766,-63199,-42643,-276700,0,South-eastern Asia
Singapore,2/1/2020 0:00,-54112,-27390,-31160,-40330,-14744,-59327,-43740,-226941,0,South-eastern Asia
Macao,7/1/2018 0:00,-5252,-2478,-11981,-5562,-2642,-13091,-4175,-1899,0,Eastern Asia
Malta,7/1/2018 0:00,-5326,-1010,-11801,-3182,-11,-5906,-1780,14266,0,Southern Europe
Malta,2/1/2020 0:00,-4130,-963,21490,-2610,-2,-5310,-1562,50775,0,Southern Europe
Maldives,7/1/2018 0:00,-4695,-2053,5959,-3993,-11,-3962,-3968,30559,0,Southern Asia
Maldives,2/1/2020 0:00,-5883,-2950,7869,-5796,-14,-5452,-5671,25965,0,Southern Asia
Mozambique,7/1/2018 0:00,-3300,-37520,3715,2375,-247,-2654,-541,5110,0,Sub-Saharan Africa
Mozambique,2/1/2020 0:00,-3750,-55115,-4273,11156,-286,-3622,-2568,-14596,0,Sub-Saharan Africa
Mauritania,2/1/2020 0:00,-8900,-22804,54409,-558,-1,-1676,-3847,60485,0,Sub-Saharan Africa
Mauritius,7/1/2018 0:00,-10715,-15128,-35561,-3193,-472,-5710,-2540,-30037,0,Sub-Saharan Africa
Mauritius,2/1/2020 0:00,-10318,-4506,1682,-2564,81,-4594,-3402,20241,0,Sub-Saharan Africa
Mexico,7/1/2018 0:00,-81591,-381854,14803,308687,35825,-149970,363845,153027,0,Latin America and the Caribbean
Samoa,7/1/2018 0:00,-1022,-483,1787,-74,-17,-2039,-83,41351,0,Polynesia
"Tanzania, United Republic of",7/1/2018 0:00,-677,2420,13700,3894,60,-95,5141,67725,0,Sub-Saharan Africa
United Arab Emirates,7/1/2018 0:00,-69346,-66135,-30677,-61830,-4083,-122796,-51783,-363368,0,Western Asia
Nepal,2/1/2020 0:00,-1684,-39359,-2402,-15886,-835,-79,-21556,-37939,0,Southern Asia
Saint Lucia,7/1/2018 0:00,-1125,-190,-436,751,4,-1948,-732,39606,0,Latin America and the Caribbean
Nigeria,2/1/2020 0:00,-35968,-95638,-50494,-1085,-489,-1,-782,-140595,0,Sub-Saharan Africa
Sao Tome and Principe,7/1/2018 0:00,-197,-55,-15,-46,-5,-62,-53,42849,0,Sub-Saharan Africa
